順位,ポケモン,調整1位,性格1位,性格2位,性格3位,特性1位,特性2位,特性3位,技1位,技2位,技3位,技4位,技5位,道具1位,道具2位,道具3位,道具4位,道具5位
"30位"," ウルガモス","2-0-0-32-0-32(10.80%)","ひかえめC↑A↓ (36.70%)","おくびょうS↑A↓ (32.00%)","ずぶといB↑A↓ (27.70%)","ほのおのからだ (93.80%)","むしのしらせ (6.10%)","-","ちょうのまい (96.00%)","ほのおのまい (86.00%)","ギガドレイン (64.50%)","むしのさざめき (46.40%)","あさのひざし (42.40%)","オボンのみ (35.20%)","たべのこし (23.00%)","ラムのみ (21.30%)","きあいのタスキ (5.50%)","もくたん (2.20%)"
"31位"," ピクシー","32-0-32-0-2-0(23.10%)","ずぶといB↑A↓ (65.40%)","おだやかD↑A↓ (19.50%)","ひかえめC↑A↓ (11.80%)","てんねん (72.00%)","マジックガード (27.00%)","メロメロボディ (1.00%)","つきのひかり (90.60%)","ムーンフォース (85.40%)","コスモパワー (53.50%)","アシストパワー (44.40%)","めいそう (37.40%)","ピクシナイト (90.80%)","たべのこし (4.40%)","オボンのみ (2.00%)","ひかりのこな (0.40%)","ラムのみ (0.30%)"
"32位"," バンギラス","2-32-0-0-0-32(16.00%)","いじっぱりA↑C↓ (44.50%)","しんちょうD↑C↓ (25.00%)","ようきS↑C↓ (21.20%)","すなおこし (99.40%)","きんちょうかん (0.60%)","-","はたきおとす (70.10%)","ストーンエッジ (52.00%)","じしん (48.50%)","ステルスロック (37.40%)","りゅうのまい (32.00%)","バンギラスナイト (46.70%)","オボンのみ (15.10%)","たべのこし (10.80%)","ヨプのみ (7.00%)","ラムのみ (5.30%)"
"33位"," スターミー","2-32-0-0-0-32(50.70%)","いじっぱりA↑C↓ (55.20%)","ようきS↑C↓ (35.50%)","おくびょうS↑A↓ (2.70%)","しぜんかいふく (79.60%)","はっこう (11.10%)","アナライズ (9.10%)","アクアジェット (84.30%)","アクアブレイク (77.50%)","しねんのずつき (59.70%)","アイススピナー (58.70%)","クイックターン (51.50%)","(96.10%)","きあいのタスキ (1.00%)","こだわりスカーフ (0.80%)","ひかりのこな (0.40%)","たべのこし (0.30%)"
"34位"," ドラパルト","2-32-0-0-0-32(63.40%)","ようきS↑C↓ (26.20%)","おくびょうS↑A↓ (16.80%)","いじっぱりA↑C↓ (4.40%)","すりぬけ (63.40%)","クリアボディ (24.20%)","のろわれボディ (12.30%)","ドラゴンアロー (62.00%)","とんぼがえり (47.20%)","ゴーストダイブ (34.00%)","ふいうち (32.00%)","りゅうせいぐん (30.70%)","きあいのタスキ (42.40%)","こだわりスカーフ (22.80%)","りゅうのキバ (7.50%)","ラムのみ (6.40%)","しろいハーブ (4.30%)"
"35位"," ドヒドイデ","32-0-2-0-32-0(37.70%)","おだやかD↑A↓ (37.70%)","ずぶといB↑A↓ (21.60%)","しんちょうD↑C↓ (3.00%)","さいせいりょく (97.50%)","ひとでなし (1.70%)","じゅうなん (0.60%)","じこさいせい (97.40%)","どくどく (90.40%)","まとわりつく (57.70%)","トーチカ (53.20%)","くろいきり (43.70%)","たべのこし (61.70%)","オボンのみ (16.70%)","メンタルハーブ (9.30%)","ひかりのこな (4.10%)","シュカのみ (1.70%)"
"36位"," ニンフィア","32-0-32-0-2-0(22.20%)","ひかえめC↑A↓ (41.90%)","ずぶといB↑A↓ (31.30%)","のんきB↑S↓ (4.50%)","フェアリースキン (98.60%)","メロメロボディ (1.20%)","-","ハイパーボイス (96.60%)","あくび (77.90%)","まもる (51.40%)","ねがいごと (47.40%)","マジカルフレイム (34.00%)","たべのこし (61.40%)","ようせいのハネ (13.80%)","オボンのみ (13.10%)","ラムのみ (2.50%)","せんせいのツメ (2.00%)"
"37位"," マリルリ","32-32-0-0-0-2(23.00%)","いじっぱりA↑C↓ (93.00%)","ようきS↑C↓ (10.80%)","ゆうかんA↑S↓ (6.80%)","ちからもち (96.00%)","そうしょく (3.70%)","あついしぼう (0.30%)","アクアジェット (96.30%)","じゃれつく (95.50%)","はらだいこ (69.00%)","アクアブレイク (63.00%)","ばかぢから (37.50%)","オボンのみ (68.30%)","ラムのみ (16.20%)","しんぴのしずく (5.60%)","たべのこし (3.70%)","せんせいのツメ (1.20%)"
"38位"," ラウドボーン","32-0-32-0-2-0(17.50%)","ずぶといB↑A↓ (68.80%)","おだやかD↑A↓ (16.10%)","ひかえめC↑A↓ (11.30%)","てんねん (98.80%)","もうか (1.20%)","-","フレアソング (99.40%)","なまける (92.00%)","おにび (71.80%)","シャドーボール (50.50%)","たたりめ (30.50%)","たべのこし (40.50%)","オボンのみ (24.20%)","カシブのみ (3.50%)","ラムのみ (3.20%)","シュカのみ (2.70%)"
"39位"," クエスパトラ","25-0-30-0-2-9(9.10%)","ずぶといB↑A↓ (39.70%)","おくびょうS↑A↓ (32.20%)","ひかえめC↑A↓ (21.80%)","かそく (99.50%)","びんじょう (0.30%)","おみとおし (0.20%)","まもる (86.00%)","バトンタッチ (82.90%)","ルミナコリジョン (82.50%)","めいそう (73.60%)","マジカルシャイン (24.00%)","オボンのみ (32.20%)","きあいのタスキ (31.20%)","たべのこし (14.80%)","メンタルハーブ (5.90%)","ラムのみ (4.40%)"
